q1vsq2	QI1	QI2	OverallAgreement	kTestEst	kTestJudg	kTestPvalue	bowkerP
HVvsEP	HV	EP	0.93125	0.872574572835216	Almost perfect agreement	0	0.391625176271089
HVvsIGD	HV	IGD	0.875	0.764896039967673	Substantial agreement	0	0.0437703294472967
IGDvsEP	IGD	EP	0.8625	0.735874540406693	Substantial agreement	0	0.203542081679365
GDvsED	GD	ED	0.80625	0.646295371889039	Substantial agreement	0	0.0964723223796281
IGDvsGD	IGD	GD	0.80625	0.62483927085697	Substantial agreement	1.11022302462516e-16	0.578719974243402
IGDvsED	IGD	ED	0.78125	0.598018806977245	Moderate agreement	1.11022302462516e-16	0.0285612918651708
EPvsGS	EP	GS	0.7375	0.512972894622409	Moderate agreement	1.14219744773436e-12	0.531948371210487
HVvsGD	HV	GD	0.725	0.486506199854121	Moderate agreement	1.9465096201543e-11	0.372751274802655
HVvsGS	HV	GS	0.7125	0.476678043230944	Moderate agreement	1.39250833086635e-11	0.659389819711985
HVvsED	HV	ED	0.68125	0.431160683164866	Moderate agreement	3.70430019991375e-10	0.187406637160027
EPvsGD	EP	GD	0.7	0.427719821162444	Moderate agreement	6.77416545080689e-09	0.801251956901201
IGDvsGS	IGD	GS	0.6875	0.413876474466994	Moderate agreement	1.10483556747809e-08	0.339019405147894
EPvsED	EP	ED	0.65625	0.376549769748495	Fair agreement	6.44917401704248e-08	0.235002709313328
IGDvsPFS	IGD	PFS	0.59375	0.316104425593477	Fair agreement	6.60331133439662e-07	0.0000220708441583002
GDvsPFS	GD	PFS	0.58125	0.303036213510175	Fair agreement	0.00000128403542531963	0.00000711876483408961
HVvsPFS	HV	PFS	0.575	0.298743151788592	Fair agreement	0.00000138612651279235	0.0012619180356595
GDvsC	GD	C	0.48125	0.296796399258671	Fair agreement	1.52863721680774e-10	2.83099391937885e-16
HVvsC	HV	C	0.475	0.278776495841159	Fair agreement	4.01246036396685e-09	4.29034938864408e-14
IGDvsC	IGD	C	0.46875	0.275825346112886	Fair agreement	3.52737328235264e-09	6.59726747676048e-16
GSvsED	GS	ED	0.59375	0.275008713837574	Fair agreement	0.0000429687171152882	0.5097051563428
EDvsC	ED	C	0.46875	0.264268325669462	Fair agreement	3.5623535898921e-08	2.2555794382926e-11
GSvsPFS	GS	PFS	0.54375	0.252001280819725	Fair agreement	0.000033569164740288	0.000284121035233632
GDvsGS	GD	GS	0.6	0.251461988304093	Fair agreement	0.000327791414735157	0.556595471560944
EPvsPFS	EP	PFS	0.54375	0.241804608893216	Fair agreement	0.0000850332792734498	0.000108028243903878
EPvsC	EP	C	0.4375	0.233838786911413	Fair agreement	4.42373120357331e-07	6.05489456383419e-15
EDvsPFS	ED	PFS	0.525	0.223300970873786	Fair agreement	0.000196950559547271	0.00708668391682964
PFSvsC	PFS	C	0.4625	0.220175687163502	Fair agreement	0.0000167826736523491	0.0000018872748767623
GSvsC	GS	C	0.41875	0.207034372501998	Fair agreement	0.00000715083101199276	6.04169712010283e-15
