Problem	q1vsq2	QI1	QI2	OverallAgreement	kTestEst	kTestJudg	kTestPvalue	bowkerP
RA	HVvsIGD	HV	IGD	1	1	Perfect agreement	0	1
RA	HVvsEP	HV	EP	1	1	Perfect agreement	0	1
RA	IGDvsEP	IGD	EP	1	1	Perfect agreement	0	1
TS	IGDvsGD	IGD	GD	1	1	Perfect agreement	0	1
TS	IGDvsED	IGD	ED	1	1	Perfect agreement	0	1
TS	GDvsED	GD	ED	1	1	Perfect agreement	0	1
TRA	HVvsEP	HV	EP	1	1	Perfect agreement	0	1
RP	IGDvsED	IGD	ED	1	1	Perfect agreement	0	1
TM	HVvsEP	HV	EP	1	1	Perfect agreement	0	1
TP2_1	IGDvsGD	IGD	GD	1	1	Perfect agreement	0	1
TP2_2	HVvsEP	HV	EP	1	1	Perfect agreement	0	1
TP2_2	HVvsGS	HV	GS	1	1	Perfect agreement	0	1
TP2_2	EPvsGS	EP	GS	1	1	Perfect agreement	0	1
TP2_3	IGDvsEP	IGD	EP	1	1	Perfect agreement	0	1
RM	HVvsIGD	HV	IGD	1	1	Perfect agreement	0	1
RM	EPvsGS	EP	GS	1	1	Perfect agreement	0	1
ITO	HVvsGD	HV	GD	1	1	Perfect agreement	0	1
ITO	IGDvsEP	IGD	EP	1	1	Perfect agreement	0	1
TRA	IGDvsED	IGD	ED	0.933333333333333	0.877049180327869	Almost perfect agreement	0.000109149091914174	NA
RP	HVvsIGD	HV	IGD	0.933333333333333	0.877049180327869	Almost perfect agreement	0.000109149091914174	NA
RP	HVvsEP	HV	EP	0.933333333333333	0.877049180327869	Almost perfect agreement	0.000109149091914174	NA
RP	HVvsED	HV	ED	0.933333333333333	0.877049180327869	Almost perfect agreement	0.000109149091914174	NA
TM	HVvsIGD	HV	IGD	0.933333333333333	0.871794871794872	Almost perfect agreement	0.000220442768713025	NA
TM	IGDvsEP	IGD	EP	0.933333333333333	0.871794871794872	Almost perfect agreement	0.000220442768713025	NA
TM	IGDvsGD	IGD	GD	0.933333333333333	0.857142857142857	Almost perfect agreement	0.000950446625223367	NA
TM	IGDvsED	IGD	ED	0.933333333333333	0.848484848484849	Almost perfect agreement	0.0017905820165619	NA
TM	GDvsED	GD	ED	0.933333333333333	0.842105263157895	Almost perfect agreement	0.00265123495346054	NA
TP1	HVvsEP	HV	EP	0.933333333333333	0.857142857142857	Almost perfect agreement	0.000950446625223367	NA
TP1	HVvsGS	HV	GS	0.933333333333333	0.842105263157895	Almost perfect agreement	0.00265123495346054	NA
TP2_1	IGDvsED	IGD	ED	0.933333333333333	0.83695652173913	Almost perfect agreement	0.00350909699876889	NA
TP2_1	GDvsED	GD	ED	0.933333333333333	0.83695652173913	Almost perfect agreement	0.00350909699876889	NA
TP2_3	HVvsIGD	HV	IGD	0.933333333333333	0.873949579831933	Almost perfect agreement	0.000167670018936805	NA
TP2_3	HVvsEP	HV	EP	0.933333333333333	0.873949579831933	Almost perfect agreement	0.000167670018936805	NA
TP2_3	IGDvsED	IGD	ED	0.933333333333333	0.875	Almost perfect agreement	0.000145690678923449	NA
TP2_3	EPvsED	EP	ED	0.933333333333333	0.875	Almost perfect agreement	0.000145690678923449	NA
ITO	HVvsIGD	HV	IGD	0.933333333333333	0.880952380952381	Almost perfect agreement	0.0000592622701884871	NA
ITO	HVvsEP	HV	EP	0.933333333333333	0.880952380952381	Almost perfect agreement	0.0000592622701884871	NA
ITO	HVvsED	HV	ED	0.933333333333333	0.883720930232558	Almost perfect agreement	0.0000363109788222848	NA
ITO	IGDvsGD	IGD	GD	0.933333333333333	0.880952380952381	Almost perfect agreement	0.0000592622701884871	NA
ITO	IGDvsGS	IGD	GS	0.933333333333333	0.877049180327869	Almost perfect agreement	0.000109149091914174	NA
ITO	EPvsGD	EP	GD	0.933333333333333	0.880952380952381	Almost perfect agreement	0.0000592622701884871	NA
ITO	EPvsGS	EP	GS	0.933333333333333	0.877049180327869	Almost perfect agreement	0.000109149091914174	NA
ITO	GDvsED	GD	ED	0.933333333333333	0.883720930232558	Almost perfect agreement	0.0000363109788222848	NA
