Problem	OAvsK_tau	OAvsK_p	shapOA_p	shapK_p	normalOA	normalK	correlated
1	RA	0.608893871307373	0.0000197887420654297	0.0868792073727437	0.0103961793680437	TRUE	FALSE	TRUE
2	TS	0.86796361207962	0	0.0862360935565508	0.0020483970339073	TRUE	FALSE	TRUE
3	TRA	0.925443589687347	0	0.619941137918927	0.178755130926053	TRUE	TRUE	TRUE
4	RP	0.941623449325562	0	0.0381111358234426	0.0879124294441079	FALSE	TRUE	TRUE
5	TM	0.8815016746521	0	0.0245256335201483	0.05518140364176	FALSE	TRUE	TRUE
6	TP1	0.864542841911316	0	0.430792366702409	0.359856894272861	TRUE	TRUE	TRUE
7	TP2_1	0.716473639011383	2.38418579101562e-07	0.60009166152795	0.0347864440200552	TRUE	FALSE	TRUE
8	TP2_2	0.858015298843384	0	0.0854979260124124	0.113671007197924	TRUE	TRUE	TRUE
9	TP2_3	0.932235598564148	0	0.00646043905966465	0.0743149554614807	FALSE	TRUE	TRUE
10	RM	0.94614177942276	0	0.00670783724787905	0.0628315000984715	FALSE	TRUE	TRUE
11	ITO	0.927113354206085	0	0.00116755124202809	0.0139510019469469	FALSE	FALSE	TRUE
