Alg	q1vsq2	QI1	QI2	OverallAgreement	kTestEst	kTestJudg	kTestPvalue	bowkerP
NSGAII	HVvsEP	HV	EP	0.981481481481482	0.966228893058162	Almost perfect agreement	2.55351295663786e-15	NA
PAES	HVvsEP	HV	EP	0.962962962962963	0.930902111324376	Almost perfect agreement	9.72555369571637e-14	NA
SPEA2	HVvsEP	HV	EP	0.944444444444444	0.879014189693801	Almost perfect agreement	1.32395161500654e-09	NA
CELLDE	HVvsEP	HV	EP	0.94	0.881046788263283	Almost perfect agreement	1.63917990292362e-10	NA
CELLDE	HVvsIGD	HV	IGD	0.9	0.794913863822806	Substantial agreement	2.08875898799477e-08	NA
MOCELL	HVvsIGD	HV	IGD	0.888888888888889	0.785714285714286	Substantial agreement	1.03795805284079e-09	0.261464129949111
MOCELL	HVvsEP	HV	EP	0.888888888888889	0.796992481203007	Substantial agreement	5.97676352853682e-11	0.343030146138244
PAES	HVvsIGD	HV	IGD	0.888888888888889	0.794546607482562	Substantial agreement	1.17606369087753e-10	0.343030146138244
SMPSO	GDvsED	GD	ED	0.888888888888889	0.785145888594164	Substantial agreement	1.17906706620374e-09	NA
SPEA2	IGDvsEP	IGD	EP	0.888888888888889	0.728643216080402	Substantial agreement	0.00000412505584812539	0.111610225094713
CELLDE	IGDvsEP	IGD	EP	0.88	0.753694581280788	Substantial agreement	1.0252804738542e-07	NA
CELLDE	IGDvsGD	IGD	GD	0.88	0.743808710503843	Substantial agreement	3.96688343284879e-07	NA
CELLDE	GDvsED	GD	ED	0.88	0.766173031956352	Substantial agreement	1.3287210887114e-08	NA
MOCELL	IGDvsEP	IGD	EP	0.87037037037037	0.748	Substantial agreement	7.6867341380904e-09	0.283886130759827
NSGAII	HVvsIGD	HV	IGD	0.87037037037037	0.760607979734009	Substantial agreement	6.23360918439175e-10	0.391625176271089
PAES	IGDvsEP	IGD	EP	0.87037037037037	0.756756756756757	Substantial agreement	1.42467104780053e-09	0.531948371210487
PAES	EPvsGS	EP	GS	0.87037037037037	0.759082217973231	Substantial agreement	8.70825522802932e-10	0.801251956901201
SMPSO	HVvsEP	HV	EP	0.87037037037037	0.744939271255061	Substantial agreement	1.31055910568278e-08	NA
SPEA2	HVvsIGD	HV	IGD	0.87037037037037	0.694915254237288	Substantial agreement	0.00000568512315102243	0.0718977724964651
CELLDE	IGDvsED	IGD	ED	0.86	0.720447284345048	Substantial agreement	1.67607561496474e-07	0.0718977724964651
MOCELL	GDvsED	GD	ED	0.851851851851852	0.729323308270677	Substantial agreement	1.89467330713455e-09	0.0460117056892314
NSGAII	IGDvsEP	IGD	EP	0.851851851851852	0.726755218216319	Substantial agreement	3.09031167322615e-09	0.361805027497532
PAES	IGDvsGD	IGD	GD	0.851851851851852	0.717462393721386	Substantial agreement	1.55118070610527e-08	0.423499917055459
PAES	HVvsGS	HV	GS	0.833333333333333	0.694147262429201	Substantial agreement	1.19014754718094e-08	0.977589297761649
SMPSO	HVvsIGD	HV	IGD	0.833333333333333	0.689655172413793	Substantial agreement	2.40349465885359e-08	0.0964723223796281
CELLDE	HVvsGD	HV	GD	0.82	0.640861931364724	Substantial agreement	0.00000277998452413719	NA
NSGAII	IGDvsGD	IGD	GD	0.814814814814815	0.658875552747947	Substantial agreement	6.59258194701806e-08	0.766739550758117
SMPSO	IGDvsEP	IGD	EP	0.814814814814815	0.640718562874251	Substantial agreement	5.99109115317908e-07	NA
CELLDE	HVvsED	HV	ED	0.8	0.615680245964643	Substantial agreement	0.00000288131629766486	NA
MOCELL	EPvsGS	EP	GS	0.796296296296296	0.610236220472441	Substantial agreement	0.00000135204100759623	0.246445602523997
PAES	HVvsGD	HV	GD	0.796296296296296	0.613532856213403	Substantial agreement	9.6888229339509e-07	0.543291245021411
