QIs	fisherP	significant
HVvsIGD	0.939309517719912	FALSE
HVvsEP	0.191437530591672	FALSE
HVvsGD	0.291114570019421	FALSE
HVvsGS	0.0870419515533628	FALSE
HVvsED	0.507237386953754	FALSE
HVvsPFS	0.752568392009318	FALSE
HVvsC	0.293905211927311	FALSE
IGDvsEP	0.916147390963247	FALSE
IGDvsGD	0.472874113253259	FALSE
IGDvsGS	0.0116149540694456	TRUE
IGDvsED	0.733780967457098	FALSE
IGDvsPFS	0.832873331934491	FALSE
IGDvsC	0.166695853695905	FALSE
EPvsGD	0.424674216185475	FALSE
EPvsGS	0.0468099252976666	TRUE
EPvsED	0.784536412822925	FALSE
EPvsPFS	0.580611433473899	FALSE
EPvsC	0.167191778096158	FALSE
GDvsGS	0.279516176933455	FALSE
GDvsED	0.0774981739482903	FALSE
GDvsPFS	0.654266670566176	FALSE
GDvsC	0.669597637064479	FALSE
GSvsED	0.209964570389956	FALSE
GSvsPFS	0.852679324238727	FALSE
GSvsC	0.23273698962756	FALSE
EDvsPFS	0.0412642108967758	TRUE
EDvsC	0.334022899065641	FALSE
PFSvsC	0.0558413950643147	FALSE
