NA	NOT_SIG	SIG	percSig	percNA
HVvsIGD	1	5	0	0	16.6666666666667
HVvsEP	5	1	0	0	83.3333333333333
HVvsGD	2	4	0	0	33.3333333333333
HVvsGS	0	5	1	16.6666666666667	0
HVvsED	1	5	0	0	16.6666666666667
HVvsPFS	0	4	2	33.3333333333333	0
HVvsC	0	0	6	100	0
IGDvsEP	2	4	0	0	33.3333333333333
IGDvsGD	2	4	0	0	33.3333333333333
IGDvsGS	1	3	2	40	16.6666666666667
IGDvsED	1	5	0	0	16.6666666666667
IGDvsPFS	0	4	2	33.3333333333333	0
IGDvsC	0	0	6	100	0
EPvsGD	2	4	0	0	33.3333333333333
EPvsGS	0	5	1	16.6666666666667	0
EPvsED	0	6	0	0	0
EPvsPFS	0	2	4	66.6666666666667	0
EPvsC	0	0	6	100	0
GDvsGS	0	5	1	16.6666666666667	0
GDvsED	2	3	1	25	33.3333333333333
GDvsPFS	0	2	4	66.6666666666667	0
GDvsC	1	0	5	100	16.6666666666667
GSvsED	0	5	1	16.6666666666667	0
GSvsPFS	0	1	5	83.3333333333333	0
GSvsC	0	0	6	100	0
EDvsPFS	0	5	1	16.6666666666667	0
EDvsC	0	0	6	100	0
PFSvsC	1	1	4	80	16.6666666666667
