pairAlgs	q1vsq2	QI1	QI2	OverallAgreement	kTestEst	kTestJudg	kTestPvalue	bowkerP
CELLDE_MOCELL	HVvsIGD	HV	IGD	0.9	0.8	Almost perfect agreement	0.00570601819300087	NA
CELLDE_MOCELL	HVvsEP	HV	EP	0.8	0.6	Substantial agreement	0.0288897855617987	NA
CELLDE_MOCELL	HVvsGD	HV	GD	0.8	0.6	Substantial agreement	0.0288897855617987	NA
CELLDE_MOCELL	HVvsGS	HV	GS	0.5	0.0909090909090909	Slight agreement	0.375310412082815	NA
CELLDE_MOCELL	HVvsED	HV	ED	0.8	0.6	Substantial agreement	0.0288897855617987	NA
CELLDE_MOCELL	HVvsPFS	HV	PFS	0.5	0.166666666666667	Slight agreement	0.259302508214363	0.506165219093909
CELLDE_MOCELL	HVvsC	HV	C	0.4	0.2	Fair agreement	0.136660839146149	0.111610225094713
CELLDE_MOCELL	IGDvsEP	IGD	EP	0.7	0.444444444444444	Moderate agreement	0.0639076315461286	NA
CELLDE_MOCELL	IGDvsGD	IGD	GD	0.9	0.8	Almost perfect agreement	0.00570601819300087	NA
CELLDE_MOCELL	IGDvsGS	IGD	GS	0.4	0.0322580645161291	Slight agreement	0.448164784887296	NA
CELLDE_MOCELL	IGDvsED	IGD	ED	0.9	0.8	Almost perfect agreement	0.00570601819300087	NA
CELLDE_MOCELL	IGDvsPFS	IGD	PFS	0.6	0.354838709677419	Fair agreement	0.075887033496886	0.261464129949111
CELLDE_MOCELL	IGDvsC	IGD	C	0.5	0.342105263157895	Fair agreement	0.0271063073945914	NA
CELLDE_MOCELL	EPvsGD	EP	GD	0.6	0.2	Slight agreement	0.263544628432769	NA
CELLDE_MOCELL	EPvsGS	EP	GS	0.5	-0.219512195121951	No agreement	0.718591194709302	NA
CELLDE_MOCELL	EPvsED	EP	ED	0.6	0.2	Slight agreement	0.263544628432769	NA
CELLDE_MOCELL	EPvsPFS	EP	PFS	0.4	-0.0714285714285715	No agreement	0.600570325001975	NA
CELLDE_MOCELL	EPvsC	EP	C	0.3	0.0410958904109589	Slight agreement	0.415395605424277	0.0718977724964651
CELLDE_MOCELL	GDvsGS	GD	GS	0.5	0.0909090909090909	Slight agreement	0.375310412082815	NA
CELLDE_MOCELL	GDvsED	GD	ED	1	1	Perfect agreement	0	1
CELLDE_MOCELL	GDvsPFS	GD	PFS	0.7	0.5	Moderate agreement	0.0264037557080569	0.391625176271089
CELLDE_MOCELL	GDvsC	GD	C	0.5	0.333333333333333	Fair agreement	0.0339445774309145	NA
CELLDE_MOCELL	GSvsED	GS	ED	0.5	0.0909090909090909	Slight agreement	0.375310412082815	NA
CELLDE_MOCELL	GSvsPFS	GS	PFS	0.7	0.454545454545454	Moderate agreement	0.0560184218427818	NA
CELLDE_MOCELL	GSvsC	GS	C	0.5	0.27536231884058	Fair agreement	0.0969519192899485	NA
CELLDE_MOCELL	EDvsPFS	ED	PFS	0.7	0.5	Moderate agreement	0.0264037557080569	0.391625176271089
CELLDE_MOCELL	EDvsC	ED	C	0.5	0.333333333333333	Fair agreement	0.0339445774309145	NA
CELLDE_MOCELL	PFSvsC	PFS	C	0.7	0.565217391304348	Moderate agreement	0.00383104659136879	NA
CELLDE_NSGAII	HVvsIGD	HV	IGD	0.9	0.736842105263158	Substantial agreement	0.0340615756222619	NA
CELLDE_NSGAII	HVvsEP	HV	EP	1	1	Perfect agreement	0	1
CELLDE_NSGAII	HVvsGD	HV	GD	0.8	0.411764705882353	Moderate agreement	0.175002324849682	NA
CELLDE_NSGAII	HVvsGS	HV	GS	0.6	0.333333333333333	Fair agreement	0.0983528012294734	0.261464129949111
CELLDE_NSGAII	HVvsED	HV	ED	0.8	0.523809523809524	Moderate agreement	0.0793345963040594	NA
CELLDE_NSGAII	HVvsPFS	HV	PFS	0.8	0.51219512195122	Moderate agreement	0.0884742955775919	NA
CELLDE_NSGAII	HVvsC	HV	C	0.7	0.491525423728813	Moderate agreement	0.0311204376369842	NA
CELLDE_NSGAII	IGDvsEP	IGD	EP	0.9	0.736842105263158	Substantial agreement	0.0340615756222619	NA
CELLDE_NSGAII	IGDvsGD	IGD	GD	0.9	0.615384615384616	Substantial agreement	0.124352690527457	NA
CELLDE_NSGAII	IGDvsGS	IGD	GS	0.6	0.333333333333333	Fair agreement	0.0983528012294734	NA
CELLDE_NSGAII	IGDvsED	IGD	ED	0.9	0.736842105263158	Substantial agreement	0.0340615756222619	NA
