QIs	fisherP	significant
HVvsIGD	0.716249041275264	FALSE
HVvsEP	0.55410637292004	FALSE
HVvsGD	0.197094716086427	FALSE
HVvsGS	0.128288157634631	FALSE
HVvsED	0.544139796061455	FALSE
HVvsPFS	0.0213394738897578	TRUE
HVvsC	0.533306844411052	FALSE
IGDvsEP	0.18364343962179	FALSE
IGDvsGD	0.412605026269481	FALSE
IGDvsGS	0.00880405505362865	TRUE
IGDvsED	0.937224540762564	FALSE
IGDvsPFS	0.0509976341032141	FALSE
IGDvsC	0.495318383877017	FALSE
EPvsGD	0.245280924345615	FALSE
EPvsGS	0.0484620835316727	TRUE
EPvsED	0.691770501819736	FALSE
EPvsPFS	0.0158210719615466	TRUE
EPvsC	0.291388493154598	FALSE
GDvsGS	0.610283430732373	FALSE
GDvsED	0.321402785494269	FALSE
GDvsPFS	0.237487727887158	FALSE
GDvsC	0.867008462494986	FALSE
GSvsED	0.603958420695128	FALSE
GSvsPFS	0.419996612158911	FALSE
GSvsC	0.622277969917072	FALSE
EDvsPFS	0.0593604566852209	FALSE
EDvsC	0.590067066542549	FALSE
PFSvsC	0.252594329314549	FALSE
